"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02339V02812","County","UNIT","VALUE"
"HSA10","New House Registrations","1978","1978","-","All Counties","Number","3781"
"HSA10","New House Registrations","1978","1978","01","Carlow","Number","1"
"HSA10","New House Registrations","1978","1978","02","Dublin","Number","1761"
"HSA10","New House Registrations","1978","1978","03","Kildare","Number","154"
"HSA10","New House Registrations","1978","1978","04","Kilkenny","Number","82"
"HSA10","New House Registrations","1978","1978","05","Laois","Number","13"
"HSA10","New House Registrations","1978","1978","06","Longford","Number","36"
"HSA10","New House Registrations","1978","1978","07","Louth","Number","84"
"HSA10","New House Registrations","1978","1978","08","Meath","Number","84"
"HSA10","New House Registrations","1978","1978","09","Offaly","Number","6"
"HSA10","New House Registrations","1978","1978","10","Westmeath","Number","177"
"HSA10","New House Registrations","1978","1978","11","Wexford","Number","43"
"HSA10","New House Registrations","1978","1978","12","Wicklow","Number","228"
"HSA10","New House Registrations","1978","1978","13","Clare","Number","65"
"HSA10","New House Registrations","1978","1978","14","Cork","Number","367"
"HSA10","New House Registrations","1978","1978","15","Kerry","Number","32"
"HSA10","New House Registrations","1978","1978","16","Limerick","Number","154"
"HSA10","New House Registrations","1978","1978","17","Tipperary","Number","29"
"HSA10","New House Registrations","1978","1978","18","Waterford","Number","189"
"HSA10","New House Registrations","1978","1978","19","Galway","Number","173"
"HSA10","New House Registrations","1978","1978","20","Leitrim","Number","6"
"HSA10","New House Registrations","1978","1978","21","Mayo","Number","37"
"HSA10","New House Registrations","1978","1978","22","Roscommon","Number","20"
"HSA10","New House Registrations","1978","1978","23","Sligo","Number","3"
"HSA10","New House Registrations","1978","1978","24","Cavan","Number","10"
"HSA10","New House Registrations","1978","1978","25","Donegal","Number","27"
"HSA10","New House Registrations","1978","1978","26","Monaghan","Number","0"
"HSA10","New House Registrations","1979","1979","-","All Counties","Number","5565"
"HSA10","New House Registrations","1979","1979","01","Carlow","Number","5"
"HSA10","New House Registrations","1979","1979","02","Dublin","Number","2479"
"HSA10","New House Registrations","1979","1979","03","Kildare","Number","332"
"HSA10","New House Registrations","1979","1979","04","Kilkenny","Number","83"
"HSA10","New House Registrations","1979","1979","05","Laois","Number","26"
"HSA10","New House Registrations","1979","1979","06","Longford","Number","10"
"HSA10","New House Registrations","1979","1979","07","Louth","Number","276"
"HSA10","New House Registrations","1979","1979","08","Meath","Number","283"
"HSA10","New House Registrations","1979","1979","09","Offaly","Number","6"
"HSA10","New House Registrations","1979","1979","10","Westmeath","Number","213"
"HSA10","New House Registrations","1979","1979","11","Wexford","Number","39"
"HSA10","New House Registrations","1979","1979","12","Wicklow","Number","194"
"HSA10","New House Registrations","1979","1979","13","Clare","Number","18"
"HSA10","New House Registrations","1979","1979","14","Cork","Number","655"
"HSA10","New House Registrations","1979","1979","15","Kerry","Number","45"
"HSA10","New House Registrations","1979","1979","16","Limerick","Number","134"
"HSA10","New House Registrations","1979","1979","17","Tipperary","Number","5"
"HSA10","New House Registrations","1979","1979","18","Waterford","Number","156"
"HSA10","New House Registrations","1979","1979","19","Galway","Number","433"
"HSA10","New House Registrations","1979","1979","20","Leitrim","Number","3"
"HSA10","New House Registrations","1979","1979","21","Mayo","Number","42"
"HSA10","New House Registrations","1979","1979","22","Roscommon","Number","26"
"HSA10","New House Registrations","1979","1979","23","Sligo","Number","7"
"HSA10","New House Registrations","1979","1979","24","Cavan","Number","15"
"HSA10","New House Registrations","1979","1979","25","Donegal","Number","38"
"HSA10","New House Registrations","1979","1979","26","Monaghan","Number","42"
"HSA10","New House Registrations","1980","1980","-","All Counties","Number","9609"
"HSA10","New House Registrations","1980","1980","01","Carlow","Number","44"
"HSA10","New House Registrations","1980","1980","02","Dublin","Number","4678"
"HSA10","New House Registrations","1980","1980","03","Kildare","Number","668"
"HSA10","New House Registrations","1980","1980","04","Kilkenny","Number","83"
"HSA10","New House Registrations","1980","1980","05","Laois","Number","43"
"HSA10","New House Registrations","1980","1980","06","Longford","Number","22"
"HSA10","New House Registrations","1980","1980","07","Louth","Number","369"
"HSA10","New House Registrations","1980","1980","08","Meath","Number","373"
"HSA10","New House Registrations","1980","1980","09","Offaly","Number","32"
"HSA10","New House Registrations","1980","1980","10","Westmeath","Number","121"
"HSA10","New House Registrations","1980","1980","11","Wexford","Number","62"
"HSA10","New House Registrations","1980","1980","12","Wicklow","Number","257"
"HSA10","New House Registrations","1980","1980","13","Clare","Number","186"
"HSA10","New House Registrations","1980","1980","14","Cork","Number","1402"
"HSA10","New House Registrations","1980","1980","15","Kerry","Number","81"
"HSA10","New House Registrations","1980","1980","16","Limerick","Number","351"
"HSA10","New House Registrations","1980","1980","17","Tipperary","Number","102"
"HSA10","New House Registrations","1980","1980","18","Waterford","Number","190"
"HSA10","New House Registrations","1980","1980","19","Galway","Number","268"
"HSA10","New House Registrations","1980","1980","20","Leitrim","Number","5"
"HSA10","New House Registrations","1980","1980","21","Mayo","Number","75"
"HSA10","New House Registrations","1980","1980","22","Roscommon","Number","52"
"HSA10","New House Registrations","1980","1980","23","Sligo","Number","65"
"HSA10","New House Registrations","1980","1980","24","Cavan","Number","11"
"HSA10","New House Registrations","1980","1980","25","Donegal","Number","40"
"HSA10","New House Registrations","1980","1980","26","Monaghan","Number","29"
"HSA10","New House Registrations","1981","1981","-","All Counties","Number","10785"
"HSA10","New House Registrations","1981","1981","01","Carlow","Number","97"
"HSA10","New House Registrations","1981","1981","02","Dublin","Number","4012"
"HSA10","New House Registrations","1981","1981","03","Kildare","Number","731"
"HSA10","New House Registrations","1981","1981","04","Kilkenny","Number","145"
"HSA10","New House Registrations","1981","1981","05","Laois","Number","77"
"HSA10","New House Registrations","1981","1981","06","Longford","Number","90"
"HSA10","New House Registrations","1981","1981","07","Louth","Number","209"
"HSA10","New House Registrations","1981","1981","08","Meath","Number","423"
"HSA10","New House Registrations","1981","1981","09","Offaly","Number","60"
"HSA10","New House Registrations","1981","1981","10","Westmeath","Number","140"
"HSA10","New House Registrations","1981","1981","11","Wexford","Number","81"
"HSA10","New House Registrations","1981","1981","12","Wicklow","Number","673"
"HSA10","New House Registrations","1981","1981","13","Clare","Number","267"
"HSA10","New House Registrations","1981","1981","14","Cork","Number","1707"
"HSA10","New House Registrations","1981","1981","15","Kerry","Number","112"
"HSA10","New House Registrations","1981","1981","16","Limerick","Number","619"
"HSA10","New House Registrations","1981","1981","17","Tipperary","Number","159"
"HSA10","New House Registrations","1981","1981","18","Waterford","Number","252"
"HSA10","New House Registrations","1981","1981","19","Galway","Number","488"
"HSA10","New House Registrations","1981","1981","20","Leitrim","Number","9"
"HSA10","New House Registrations","1981","1981","21","Mayo","Number","135"
"HSA10","New House Registrations","1981","1981","22","Roscommon","Number","64"
"HSA10","New House Registrations","1981","1981","23","Sligo","Number","104"
"HSA10","New House Registrations","1981","1981","24","Cavan","Number","14"
"HSA10","New House Registrations","1981","1981","25","Donegal","Number","71"
"HSA10","New House Registrations","1981","1981","26","Monaghan","Number","46"
"HSA10","New House Registrations","1982","1982","-","All Counties","Number","9448"
"HSA10","New House Registrations","1982","1982","01","Carlow","Number","61"
"HSA10","New House Registrations","1982","1982","02","Dublin","Number","4149"
"HSA10","New House Registrations","1982","1982","03","Kildare","Number","603"
"HSA10","New House Registrations","1982","1982","04","Kilkenny","Number","62"
"HSA10","New House Registrations","1982","1982","05","Laois","Number","29"
"HSA10","New House Registrations","1982","1982","06","Longford","Number","54"
"HSA10","New House Registrations","1982","1982","07","Louth","Number","238"
"HSA10","New House Registrations","1982","1982","08","Meath","Number","266"
"HSA10","New House Registrations","1982","1982","09","Offaly","Number","30"
"HSA10","New House Registrations","1982","1982","10","Westmeath","Number","156"
"HSA10","New House Registrations","1982","1982","11","Wexford","Number","52"
